National Total	Autonomous Communities and Cities	Index type	Indices and rates	Period	Total
Nacional	05 Canarias	General	Index	2018QIV	114.839
Nacional	05 Canarias	General	Index	2018QIII	113.772
Nacional	05 Canarias	General	Index	2018QII	113.327
Nacional	05 Canarias	General	Index	2018QI	111.167
Nacional	05 Canarias	General	Index	2017QIV	110.270
Nacional	05 Canarias	General	Index	2017QIII	107.978
Nacional	05 Canarias	General	Index	2017QII	106.971
Nacional	05 Canarias	General	Index	2017QI	106.334
Nacional	05 Canarias	General	Index	2016QIV	103.994
Nacional	05 Canarias	General	Index	2016QIII	103.321
Nacional	05 Canarias	General	Index	2016QII	103.263
Nacional	05 Canarias	General	Index	2016QI	102.797
Nacional	05 Canarias	General	Index	2015QIV	100.637
Nacional	05 Canarias	General	Index	2015QIII	100.937
Nacional	05 Canarias	General	Index	2015QII	101.338
Nacional	05 Canarias	General	Index	2015QI	97.087
Nacional	05 Canarias	General	Index	2014QIV	97.117
Nacional	05 Canarias	General	Index	2014QIII	96.716
Nacional	05 Canarias	General	Index	2014QII	97.829
Nacional	05 Canarias	General	Index	2014QI	95.181
Nacional	05 Canarias	General	Index	2013QIV	96.606
Nacional	05 Canarias	General	Index	2013QIII	97.316
Nacional	05 Canarias	General	Index	2013QII	98.051
Nacional	05 Canarias	General	Index	2013QI	99.840
Nacional	05 Canarias	General	Index	2012QIV	103.660
Nacional	05 Canarias	General	Index	2012QIII	103.315
Nacional	05 Canarias	General	Index	2012QII	108.044
Nacional	05 Canarias	General	Index	2012QI	113.675
Nacional	05 Canarias	General	Index	2011QIV	119.605
Nacional	05 Canarias	General	Index	2011QIII	121.593
Nacional	05 Canarias	General	Index	2011QII	126.088
Nacional	05 Canarias	General	Index	2011QI	127.156
Nacional	05 Canarias	General	Index	2010QIV	129.540
Nacional	05 Canarias	General	Index	2010QIII	130.380
Nacional	05 Canarias	General	Index	2010QII	132.972
Nacional	05 Canarias	General	Index	2010QI	131.541
Nacional	05 Canarias	General	Index	2009QIV	133.802
Nacional	05 Canarias	General	Index	2009QIII	134.275
Nacional	05 Canarias	General	Index	2009QII	134.569
Nacional	05 Canarias	General	Index	2009QI	135.116
Nacional	05 Canarias	General	Index	2008QIV	137.190
Nacional	05 Canarias	General	Index	2008QIII	140.081
Nacional	05 Canarias	General	Index	2008QII	140.650
Nacional	05 Canarias	General	Index	2008QI	141.207
Nacional	05 Canarias	General	Index	2007QIV	140.620
Nacional	05 Canarias	General	Index	2007QIII	139.186
Nacional	05 Canarias	General	Index	2007QII	136.815
Nacional	05 Canarias	General	Index	2007QI	132.560
Nacional	06 Cantabria	General	Index	2025QIII	179.330
Nacional	06 Cantabria	General	Index	2025QII	171.527
Nacional	06 Cantabria	General	Index	2025QI	165.005
Nacional	06 Cantabria	General	Index	2024QIV	161.488
Nacional	06 Cantabria	General	Index	2024QIII	159.264
Nacional	06 Cantabria	General	Index	2024QII	154.782
Nacional	06 Cantabria	General	Index	2024QI	149.716
Nacional	06 Cantabria	General	Index	2023QIV	144.492
Nacional	06 Cantabria	General	Index	2023QIII	146.299
Nacional	06 Cantabria	General	Index	2023QII	142.467
Nacional	06 Cantabria	General	Index	2023QI	140.174
Nacional	06 Cantabria	General	Index	2022QIV	138.485
Nacional	06 Cantabria	General	Index	2022QIII	138.120
Nacional	06 Cantabria	General	Index	2022QII	136.007
Nacional	06 Cantabria	General	Index	2022QI	132.760
Nacional	06 Cantabria	General	Index	2021QIV	127.541
Nacional	06 Cantabria	General	Index	2021QIII	126.327
Nacional	06 Cantabria	General	Index	2021QII	123.708
Nacional	06 Cantabria	General	Index	2021QI	119.634
Nacional	06 Cantabria	General	Index	2020QIV	118.424
Nacional	06 Cantabria	General	Index	2020QIII	118.200
Nacional	06 Cantabria	General	Index	2020QII	117.457
Nacional	06 Cantabria	General	Index	2020QI	117.236
Nacional	06 Cantabria	General	Index	2019QIV	117.029
Nacional	06 Cantabria	General	Index	2019QIII	116.593
Nacional	06 Cantabria	General	Index	2019QII	115.962
Nacional	06 Cantabria	General	Index	2019QI	116.109
Nacional	06 Cantabria	General	Index	2018QIV	114.568
Nacional	06 Cantabria	General	Index	2018QIII	113.896
Nacional	06 Cantabria	General	Index	2018QII	113.437
Nacional	06 Cantabria	General	Index	2018QI	109.851
