DATAFLOW,LAST UPDATE,freq,housing,building,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Spain,2021,12873741,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Noroeste,2021,1114611,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Galicia,2021,597806,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Principado de Asturias,2021,344867,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Cantabria,2021,171938,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Noreste,2021,1510542,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,País Vasco,2021,838019,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Comunidad Foral de Navarra,2021,162956,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,La Rioja,2021,107571,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Aragón,2021,401995,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Comunidad de Madrid,2021,2228230,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Centro (ES),2021,1187558,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Castilla y León,2021,643800,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Castilla-La Mancha,2021,364371,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Extremadura,2021,179392,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Este,2021,4070667,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Cataluña,2021,2273261,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Comunitat Valenciana,2021,1515189,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Illes Balears,2021,282218,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Sur,2021,2265974,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Andalucía,2021,1892143,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Región de Murcia,2021,336047,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Ciudad de Ceuta,2021,19505,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Ciudad de Melilla,2021,18283,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Canarias,2021,496155,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Extra-Regio NUTS 1,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Three or more dwelling residential buildings,Number,Extra-Regio NUTS 2,2021,0,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Spain,2021,18536615,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Noroeste,2021,1775840,,
ESTAT:CENS_21DWBO_R2(1.0),21/05/25 23:00:00,Annual,Conventional dwellings,Total,Number,Galicia,2021,1091040,,
